date,account,n_positions,account_mtm
2016-01-28,100000.0,1,99854.0
2016-01-29,100000.0,1,99964.0
2016-02-01,100000.0,1,100054.0
2016-02-02,100000.0,1,100069.0
2016-02-03,100000.0,1,99859.0
2016-02-04,100000.0,1,100249.0
2016-02-05,100000.0,1,100374.0
2016-02-08,100000.0,1,100344.0
2016-02-09,100000.0,1,100234.0
2016-02-10,100000.0,1,100334.0
2016-02-11,100000.0,1,100444.0
2016-02-12,100000.0,1,100509.0
2016-02-15,100000.0,1,100509.0
2016-02-16,100000.0,1,100569.0
2016-02-17,100000.0,1,100654.0
2016-02-18,100000.0,1,100614.0
2016-02-19,100000.0,1,100489.0
2016-02-22,100000.0,1,100454.0
2016-02-23,100000.0,1,100509.0
2016-02-24,100000.0,2,100650.2
2016-02-25,100573.0,1,100529.2
2016-02-26,100573.0,1,100761.7
2016-02-29,100573.0,2,100338.2
2016-03-01,100573.0,2,100109.2
2016-03-02,100573.0,3,100380.0
2016-03-03,100573.0,6,99187.9
2016-03-04,100573.0,7,99249.4
2016-03-07,100573.0,7,98481.9
2016-03-08,100573.0,7,98055.4
2016-03-09,100573.0,7,101615.9
2016-03-10,101805.4,6,101919.09999999999
2016-03-11,101805.4,6,101596.09999999999
2016-03-14,101805.4,6,100990.59999999999
2016-03-15,101805.4,6,103549.09999999999
2016-03-16,101805.4,6,103200.09999999999
2016-03-17,102307.79999999999,1,102921.79999999999
2016-03-18,102307.79999999999,1,103131.79999999999
2016-03-21,102307.79999999999,1,103141.79999999999
2016-03-22,102307.79999999999,1,103091.79999999999
2016-03-23,103950.79999999999,0,103950.79999999999
2016-03-24,103950.79999999999,0,103950.79999999999
2016-03-25,103950.79999999999,0,103950.79999999999
2016-03-28,103950.79999999999,0,103950.79999999999
2016-03-29,103950.79999999999,1,103804.79999999999
2016-03-30,103950.79999999999,1,103794.79999999999
2016-03-31,103950.79999999999,1,103844.79999999999
2016-04-01,103950.79999999999,1,103859.79999999999
2016-04-04,103950.79999999999,1,103929.79999999999
2016-04-05,103950.79999999999,1,104144.79999999999
2016-04-06,103950.79999999999,1,104034.79999999999
2016-04-07,103950.79999999999,1,104234.79999999999
2016-04-08,103950.79999999999,1,104359.79999999999
2016-04-11,103950.79999999999,1,104269.79999999999
2016-04-12,103950.79999999999,1,104469.79999999999
2016-04-13,103950.79999999999,1,104409.79999999999
2016-04-14,104443.79999999999,0,104443.79999999999
2016-04-15,104443.79999999999,0,104443.79999999999
2016-04-18,104443.79999999999,0,104443.79999999999
2016-04-19,104443.79999999999,0,104443.79999999999
2016-04-20,104443.79999999999,0,104443.79999999999
2016-04-21,104443.79999999999,0,104443.79999999999
2016-04-22,104443.79999999999,0,104443.79999999999
2016-04-25,104443.79999999999,0,104443.79999999999
2016-04-26,104443.79999999999,1,104297.79999999999
2016-04-27,104443.79999999999,1,104272.79999999999
2016-04-28,104443.79999999999,1,104372.79999999999
2016-04-29,104443.79999999999,1,104397.79999999999
2016-05-02,104443.79999999999,1,104247.79999999999
2016-05-03,104443.79999999999,2,104216.4
2016-05-04,104443.79999999999,2,104611.4
2016-05-05,104443.79999999999,2,104911.4
2016-05-06,104443.79999999999,2,103996.4
2016-05-09,104443.79999999999,2,104301.4
2016-05-10,104443.79999999999,2,104656.4
2016-05-11,104443.79999999999,3,104050.4
2016-05-12,104443.79999999999,3,103885.4
