entry_date,exit_date,ticker,combo,ff,contracts,cost_per_contract,pnl,ret_pct
2016-01-28,2016-02-25,LULU,29-50,0.041175402406685935,10,180.60000000000002,573.0000000000002,0.3172757475083057
2016-02-24,2016-03-10,BIIB,16-51,0.002276450501136562,3,1189.5999999999997,1232.4,0.3453261600537997
2016-02-29,2016-03-17,TDY,18-46,0.07262628199649845,10,319.6,-1116.9999999999998,-0.34949937421777216
2016-03-02,2016-03-17,AZO,16-44,0.0066074615077758025,2,1679.6,971.6000000000004,0.28923553226958815
2016-03-03,2016-03-17,MOH,15-43,0.16207259665283313,10,257.1,158.0000000000002,0.0614546868922599
2016-03-03,2016-03-17,IDXX,15-43,0.05421917981063995,5,237.09999999999997,503.9999999999998,0.4251370729649936
2016-03-03,2016-03-17,NCLH,15-43,0.004960463510122137,1,229.6,-14.200000000000006,-0.06184668989547041
2016-03-04,2016-03-23,FSLR,20-42,0.13766025171044616,10,385.6000000000001,1643.0,0.42608921161825714
2016-03-29,2016-04-14,ADBE,17-52,0.026952089303572402,10,319.1,493.0000000000001,0.15449702287684114
2016-04-26,2016-05-19,PTC,24-80,0.04019282979360295,10,139.59999999999997,683.0000000000003,0.489255014326648
2016-05-16,2016-06-09,REGN,25-46,0.016578793736218067,3,1059.5999999999997,519.8999999999995,0.16355228388070958
2016-05-26,2016-06-09,AKAM,15-43,0.02224362066727137,10,175.1,-87.00000000000014,-0.049685893774985807
2016-05-03,2016-06-16,CHTR,45-73,0.022234546321051152,9,444.5999999999999,3382.2000000000003,0.8452541610436349
2016-05-11,2016-06-16,FSLR,37-65,0.019368849128917454,10,186.1,238.00000000000006,0.12788823213326173
2016-05-19,2016-06-16,CRM,29-92,0.01246205454263194,8,496.6000000000001,714.4000000000003,0.17982279500604112
2016-05-20,2016-06-16,ADSK,28-56,0.030078697664695175,10,178.59999999999997,683.0000000000005,0.382418812989922
2016-05-31,2016-06-16,TDY,17-45,0.05300328497712248,10,229.60000000000005,-592.0000000000011,-0.25783972125435584
2016-06-02,2016-06-16,ULTA,15-50,0.02239243132309454,5,702.1,1441.5000000000002,0.410625267055975
2016-06-02,2016-06-16,ALGN,15-43,0.007805332967366629,3,209.6,317.3999999999999,0.5047709923664121
2016-05-27,2016-06-23,UAL,28-49,0.019761810468398533,10,122.10000000000002,303.0000000000002,0.2481572481572483
2016-06-16,2016-07-07,FSLR,22-43,0.0049038340931448765,10,185.6,-691.9999999999999,-0.37284482758620685
2016-06-21,2016-07-14,ADSK,24-59,0.008180697024567474,10,204.6,577.9999999999998,0.2825024437927663
2016-06-29,2016-07-14,ADBE,16-51,0.010116333556615675,10,296.59999999999997,-1176.999999999999,-0.39683074848280486
2016-07-08,2016-07-28,LULU,21-49,0.03461444969215788,5,233.09999999999997,-0.9999999999999787,-0.0008580008580008399
2016-07-08,2016-08-04,CRM,28-49,0.3012315530161602,10,307.1,-1732.0,-0.5639856724194073
2016-06-22,2016-08-18,AZO,58-86,0.0006840819160138789,4,919.6000000000003,1073.1999999999991,0.29175728577642424
2016-07-20,2016-08-18,ADBE,30-58,0.04991464168365489,10,197.60000000000002,272.99999999999994,0.13815789473684206
2016-07-21,2016-08-18,PTC,29-57,0.04594350683204218,10,117.09999999999995,-616.9999999999999,-0.5269000853970967
2016-08-10,2016-08-25,REGN,16-44,0.02412780717457541,2,1504.6,281.59999999999945,0.09357968895387461
2016-08-10,2016-08-25,UAL,16-44,0.0059716287521554,6,193.6,49.8,0.042871900826446284
2016-08-18,2016-09-01,FSLR,15-43,0.016088705137342174,10,190.6,-67.00000000000034,-0.03515215110178402
2016-08-15,2016-09-08,CHTR,25-46,0.0043387588600982685,8,494.5999999999999,386.400000000001,0.09765467044076048
2016-08-25,2016-09-08,AKAM,15-43,0.06888075045591102,10,175.6,-96.99999999999993,-0.05523917995444187
2016-08-25,2016-09-08,REGN,15-43,0.003707794043241508,1,1524.6,383.3000000000002,0.25141020595566066
2016-07-28,2016-09-15,VRTX,50-85,0.11999012343721338,10,434.6,2057.9999999999995,0.47353888633225943
2016-08-01,2016-09-15,BIIB,46-81,0.07285049880280003,4,1049.6,2113.2000000000003,0.5033346036585367
2016-08-11,2016-09-15,INCY,36-71,0.1448120247830018,9,442.1000000000001,1852.1999999999996,0.4655055417326395
2016-08-19,2016-09-15,VRSN,28-63,0.07531912723876877,10,279.1000000000001,833.0,0.29845933357219623
2016-08-26,2016-09-15,ADSK,21-56,0.06303927879036841,10,243.09999999999997,563.0,0.23159193747429047
2016-08-29,2016-09-15,KEYS,18-53,0.20585681769573116,10,114.6,183.00000000000009,0.15968586387434563
2016-09-01,2016-09-15,IT,15-50,0.028662092830994634,10,242.10000000000005,632.9999999999998,0.2614622057001238
2016-09-01,2016-09-15,FICO,15-50,0.013955480082671112,5,374.6000000000001,716.4999999999998,0.3825413774693004
2016-09-02,2016-09-22,UAL,21-42,0.04202175908103767,10,154.6,407.9999999999998,0.2639068564036221
2016-09-08,2016-09-22,REGN,15-50,0.028725146120632372,2,1869.5999999999997,606.6000000000013,0.1622272143774073
2016-09-07,2016-09-29,FSLR,23-44,0.02013804551166043,10,126.10000000000002,662.9999999999997,0.5257731958762883
2016-09-12,2016-10-06,MOS,25-46,0.04638142654738009,10,341.59999999999997,-2256.9999999999995,-0.6607142857142857
2016-09-22,2016-10-13,CTSH,22-43,0.0647188123720095,10,209.59999999999997,-16.999999999999638,-0.008110687022900593
2016-09-23,2016-10-13,WDAY,21-56,0.09847188095534598,8,442.1000000000001,-113.59999999999971,-0.03211942999321412
2016-09-19,2016-10-20,ADSK,32-60,0.07398372656619645,10,226.1,362.9999999999999,0.16054842989827506
2016-09-21,2016-10-20,ADBE,30-58,0.07273566202784676,10,224.59999999999997,283.00000000000017,0.12600178094390038
2016-09-23,2016-10-20,AZO,28-56,0.00803345317843096,1,1179.6000000000001,565.7999999999998,0.4796541200406916
2016-10-14,2016-11-10,LULU,28-49,0.3019843283253314,10,339.6,-1226.9999999999998,-0.3613074204946996
2016-11-07,2016-12-01,BIIB,25-46,0.059323339996131486,10,949.6,2383.0000000000023,0.2509477674810449
2016-11-17,2016-12-01,UAL,15-43,0.050752872995565745,10,272.6,642.9999999999995,0.23587674247982376
2016-11-11,2016-12-15,FFIV,35-70,0.012830904507821206,10,341.6000000000001,1122.9999999999989,0.3287470725995312
2016-11-17,2016-12-15,PYPL,29-64,0.03440242950269656,10,135.10000000000002,-92.00000000000026,-0.06809770540340507
2016-11-17,2016-12-15,INCY,29-64,0.01598667402477094,10,544.6000000000001,882.999999999998,0.16213734851266942
2016-11-29,2016-12-15,MTD,17-52,0.025548941796139202,10,1094.6,3357.999999999998,0.30677873195687905
2016-12-01,2016-12-15,FCX,15-43,0.1517702385265347,10,185.10000000000002,-997.0000000000001,-0.5386277687736358
