ticker,combo,strike,stock_px,front_exp,front_dte,front_iv,back_exp,back_dte,back_iv,ff,call_cost,put_cost,dbl_cost,volume
TMUS,60-90,220.0,221.57,2026-05-15,67,32.7,2026-06-18,101,27.6,157.3,1.45,2.08,3.53,53
PAYX,30-90,100.0,100.85,2026-04-17,39,44.8,2026-06-18,101,33.6,86.1,1.4,2.5,3.9,29
MKC,30-90,65.0,64.85,2026-04-17,39,32.6,2026-06-18,101,25.2,70.8,1.02,0.83,1.85,19
SPGI,60-90,450.0,452.36,2026-05-15,67,33.8,2026-06-18,101,29.9,69.9,3.9,4.5,8.4,0
ABT,60-90,110.0,109.56,2026-05-15,67,29.4,2026-06-18,101,26.1,65.7,1.18,0.38,1.55,93
CTAS,60-90,200.0,203.61,2026-05-15,67,28.6,2026-06-18,101,25.5,61.7,2.1,1.2,3.3,1
JNJ,60-90,240.0,240.4,2026-05-15,67,26.4,2026-06-18,101,23.5,58.5,2.05,2.53,4.58,16
LYV,60-90,155.0,156.13,2026-05-15,67,43.2,2026-06-18,101,38.8,54.0,1.95,1.6,3.55,1
FTNT,60-90,85.0,83.67,2026-05-15,67,48.7,2026-06-18,101,43.8,52.0,1.08,0.75,1.82,1
EBAY,60-90,92.5,92.71,2026-05-15,67,43.4,2026-06-18,101,39.2,48.3,1.07,0.78,1.85,0
SNA,60-90,370.0,372.14,2026-05-15,67,27.5,2026-06-18,101,24.9,47.5,1.95,2.8,4.75,0
JBHT,30-60,210.0,213.39,2026-04-17,39,46.9,2026-05-15,67,41.3,46.7,2.65,2.35,5.0,6
RCL,60-90,280.0,278.08,2026-05-15,67,54.8,2026-06-18,101,49.7,46.3,3.8,4.12,7.92,11
GRMN,60-90,240.0,243.48,2026-05-15,67,38.6,2026-06-18,101,35.1,44.5,1.95,2.15,4.1,0
VLO,60-90,220.0,224.63,2026-05-15,67,48.0,2026-06-18,101,43.6,44.4,2.65,3.28,5.93,26
NOC,60-90,755.0,756.13,2026-05-15,67,38.7,2026-06-18,101,35.3,41.7,6.75,11.1,17.85,1
DLTR,30-60,116.0,115.79,2026-04-10,32,54.2,2026-05-15,67,46.6,41.4,2.38,1.4,3.78,0
AMP,60-90,460.0,464.89,2026-05-15,67,36.3,2026-06-18,101,33.2,40.4,3.75,3.9,7.65,0
VRTX,30-90,455.0,456.69,2026-04-10,32,43.8,2026-06-18,101,35.7,40.1,15.7,8.5,24.2,0
DASH,60-90,180.0,179.17,2026-05-15,67,62.6,2026-06-18,101,57.2,40.1,3.35,2.7,6.05,11
HCA,60-90,535.0,532.81,2026-05-15,67,33.8,2026-06-18,101,30.9,38.9,3.05,6.5,9.55,0
EXPE,60-90,250.0,249.62,2026-05-15,67,60.8,2026-06-18,101,55.7,38.3,3.37,3.2,6.57,3
TEL,60-90,210.0,205.85,2026-05-15,67,47.5,2026-06-18,101,43.6,37.3,2.2,1.75,3.95,0
LLY,60-90,990.0,990.33,2026-05-15,67,45.5,2026-06-18,101,41.8,37.0,13.72,10.5,24.22,5
TT,60-90,420.0,423.13,2026-05-15,67,33.5,2026-06-18,101,30.8,35.6,3.5,3.5,7.0,0
NKE,30-90,57.0,57.01,2026-04-10,32,48.8,2026-06-18,101,40.6,34.6,1.25,1.65,2.9,6
MMM,60-90,155.0,153.41,2026-05-15,67,35.7,2026-06-18,101,32.9,34.2,1.28,1.18,2.45,85
ORCL,30-60,155.0,152.96,2026-04-10,32,75.0,2026-05-15,67,65.8,34.0,3.55,3.83,7.38,66
LULU,30-60,170.0,170.13,2026-04-10,32,62.0,2026-05-15,67,54.3,34.0,3.88,2.55,6.42,2
WST,60-90,250.0,245.86,2026-05-15,67,44.6,2026-06-18,101,41.2,33.4,2.75,1.85,4.6,0
LEN,30-60,101.0,101.17,2026-04-10,32,48.8,2026-05-15,67,42.8,33.1,2.15,1.35,3.5,0
FDX,30-60,360.0,359.1,2026-04-10,32,41.7,2026-05-15,67,36.7,32.9,5.12,3.88,9.0,0
MTB,30-90,210.0,210.46,2026-04-17,39,36.5,2026-06-18,101,31.3,32.1,3.75,3.8,7.55,0
ED,30-60,110.0,112.28,2026-04-17,39,25.0,2026-05-15,67,22.7,32.0,1.05,0.55,1.6,5
TDY,60-90,650.0,647.64,2026-05-15,67,33.0,2026-06-18,101,30.6,32.0,5.85,5.95,11.8,2
COP,60-90,115.0,117.07,2026-05-15,67,38.1,2026-06-18,101,35.3,32.0,1.0,1.2,2.2,6
BX,60-90,110.0,110.4,2026-05-15,67,52.5,2026-06-18,101,48.6,31.1,1.4,1.4,2.8,12
DDOG,60-90,125.0,125.75,2026-05-15,67,65.4,2026-06-18,101,60.6,30.8,2.55,1.78,4.33,71
BLDR,60-90,95.0,93.12,2026-05-15,67,54.2,2026-06-18,101,50.3,30.5,1.3,1.5,2.8,0
AKAM,60-90,100.0,99.89,2026-05-15,67,48.1,2026-06-18,101,44.7,30.3,1.0,1.0,2.0,15
EQIX,60-90,940.0,937.2,2026-05-15,67,34.0,2026-06-18,101,31.6,30.1,7.8,9.8,17.6,0
WYNN,60-90,100.0,101.61,2026-05-15,67,49.6,2026-06-18,101,46.2,29.3,1.62,1.55,3.18,1
FSLR,60-90,190.0,189.21,2026-05-15,67,63.2,2026-06-18,101,58.8,29.0,3.07,1.98,5.05,0
WSM,30-60,185.0,186.52,2026-04-17,39,52.7,2026-05-15,67,48.1,28.7,2.45,2.55,5.0,3
APO,60-90,110.0,108.7,2026-05-15,67,51.8,2026-06-18,101,48.2,28.1,1.65,1.8,3.45,31
BLK,60-90,960.0,955.45,2026-05-15,67,38.8,2026-06-18,101,36.1,28.1,9.25,9.9,19.15,0
DG,30-60,146.0,146.31,2026-04-10,32,49.3,2026-05-15,67,44.0,27.7,2.97,1.1,4.07,0
CRH,60-90,105.0,106.41,2026-05-15,67,39.2,2026-06-18,101,36.5,27.6,1.1,1.2,2.3,0
DAL,30-90,59.0,59.01,2026-04-10,32,61.9,2026-06-18,101,53.2,27.2,2.05,2.8,4.85,28
HSY,60-90,220.0,224.99,2026-05-15,67,34.3,2026-06-18,101,32.0,26.7,1.9,1.85,3.75,0
KLAC,60-90,1340.0,1344.55,2026-05-15,67,60.0,2026-06-18,101,56.1,26.6,21.1,20.75,41.85,0
DECK,30-60,104.0,104.25,2026-04-10,32,43.0,2026-05-15,67,38.8,24.7,1.45,2.25,3.7,0
PODD,60-90,240.0,237.01,2026-05-15,67,42.4,2026-06-18,101,39.8,24.4,2.9,2.3,5.2,0
HII,60-90,430.0,429.11,2026-05-15,67,50.5,2026-06-18,101,47.4,24.4,5.4,5.25,10.65,0
BK,30-90,115.0,115.23,2026-04-17,39,36.6,2026-06-18,101,32.4,24.2,2.45,2.3,4.75,9
QCOM,60-90,135.0,135.69,2026-05-15,67,44.4,2026-06-18,101,41.8,23.9,1.55,1.93,3.48,13
SJM,30-90,110.0,111.21,2026-04-17,39,28.7,2026-06-18,101,25.4,23.8,2.2,2.75,4.95,6
TER,60-90,270.0,273.05,2026-05-15,67,78.6,2026-06-18,101,73.9,23.6,6.15,5.05,11.2,10
DHI,60-90,145.0,147.26,2026-05-15,67,40.5,2026-06-18,101,38.1,23.4,1.9,1.85,3.75,0
FDX,30-90,360.0,359.1,2026-04-10,32,41.7,2026-06-18,101,36.5,23.3,9.67,6.85,16.52,0
CVX,60-90,190.0,189.94,2026-05-15,67,32.8,2026-06-18,101,30.8,22.9,1.53,2.42,3.95,1005
CEG,60-90,320.0,319.06,2026-05-15,67,55.9,2026-06-18,101,52.7,22.7,6.3,4.75,11.05,0
WDC,60-90,250.0,245.25,2026-05-15,67,92.0,2026-06-18,101,86.7,22.6,5.78,6.03,11.8,13
STX,60-90,350.0,352.8,2026-05-15,67,82.8,2026-06-18,101,78.2,21.9,8.6,7.6,16.2,11
BX,30-90,110.0,110.4,2026-04-10,32,55.2,2026-06-18,101,48.6,21.8,3.75,4.32,8.07,3
DRI,30-90,200.0,203.18,2026-04-17,39,35.5,2026-06-18,101,31.8,21.7,4.0,3.5,7.5,1
XOM,60-90,150.0,151.21,2026-05-15,67,34.6,2026-06-18,101,32.7,21.6,1.25,1.4,2.65,233
LULU,30-90,170.0,170.13,2026-04-10,32,62.0,2026-06-18,101,54.7,21.5,8.58,6.8,15.38,2
JBL,30-90,240.0,241.09,2026-04-10,32,61.8,2026-06-18,101,54.6,21.4,10.35,8.2,18.55,0
GS,60-90,820.0,821.42,2026-05-15,67,41.8,2026-06-18,101,39.5,21.4,8.88,10.55,19.42,5
ORCL,30-90,155.0,152.96,2026-04-10,32,75.0,2026-06-18,101,66.3,21.3,7.7,7.5,15.2,66
APP,60-90,500.0,502.14,2026-05-15,67,84.3,2026-06-18,101,79.6,21.0,12.55,10.55,23.1,91
TRGP,60-90,240.0,237.2,2026-05-15,67,35.6,2026-06-18,101,33.8,20.1,3.0,2.35,5.35,1
