ticker,combo,strike,stock_px,front_exp,front_dte,front_iv,back_exp,back_dte,back_iv,ff,call_cost,put_cost,dbl_cost,front_oi,back_oi
TMUS,60-90,220.0,217.5,2026-05-15,65,35.6,2026-06-18,99,30.7,99.9,1.3,2.2,3.5,1900,1254
AKAM,60-90,100.0,102.11,2026-05-15,65,53.2,2026-06-18,99,46.8,69.7,1.25,1.05,2.3,385,2874
ADP,60-90,220.0,223.04,2026-05-15,65,34.0,2026-06-18,99,29.9,69.4,1.05,2.3,3.35,230,160
LULU,60-90,170.0,169.76,2026-05-15,65,55.3,2026-06-18,99,48.8,68.2,3.32,3.82,7.15,130,1180
DIS,60-90,100.0,101.66,2026-05-15,65,36.9,2026-06-18,99,32.8,57.9,1.03,0.8,1.83,334,1993
WYNN,60-90,100.0,101.56,2026-05-15,65,45.7,2026-06-18,99,40.8,57.0,1.45,1.55,3.0,133,265
LYV,60-90,165.0,165.8,2026-05-15,65,37.2,2026-06-18,99,33.6,47.0,1.4,,,2000,125
HSY,60-90,220.0,222.78,2026-05-15,65,34.4,2026-06-18,99,31.6,35.5,1.7,,,118,134
FTNT,60-90,85.0,83.81,2026-05-15,65,47.0,2026-06-18,99,43.6,29.7,1.15,0.67,1.82,517,1028
EXPE,60-90,240.0,241.54,2026-05-15,65,62.9,2026-06-18,99,58.4,29.7,3.8,,,276,313
LLY,60-90,1010.0,1008.39,2026-05-15,65,43.1,2026-06-18,99,40.1,28.2,14.45,,,111,215
VLO,60-90,220.0,215.95,2026-05-15,65,47.2,2026-06-18,99,43.9,27.9,2.75,,,396,653
DHI,60-90,150.0,147.69,2026-05-15,65,40.5,2026-06-18,99,37.7,27.4,1.6,1.8,3.4,203,103
GD,60-90,360.0,361.98,2026-05-15,65,29.0,2026-06-18,99,27.1,26.5,4.1,,,248,599
MRNA,60-90,55.0,55.74,2026-05-15,65,79.1,2026-06-18,99,73.9,26.5,1.55,0.73,2.27,776,5419
UNP,60-90,255.0,253.61,2026-05-15,65,29.3,2026-06-18,99,27.4,25.5,4.45,,,167,415
MCD,60-90,330.0,330.8,2026-05-15,65,23.2,2026-06-18,99,21.8,23.8,2.1,2.6,4.7,422,592
AMAT,60-90,340.0,338.94,2026-05-15,65,58.8,2026-06-18,99,55.6,20.4,6.1,5.42,11.52,182,640
CVX,60-90,190.0,189.44,2026-05-15,65,30.3,2026-06-18,99,28.7,20.2,1.4,2.3,3.7,3220,8078
PSX,60-90,165.0,163.0,2026-05-15,65,41.4,2026-06-18,99,39.2,20.1,1.5,,,709,382
