ticker,combo,strike,put_strike,stock_px,front_exp,front_dte,front_iv,back_exp,back_dte,back_iv,ff,call_cost,put_cost,dbl_cost,call_delta,put_delta,front_oi,back_oi
QCOM,16-79,160.0,144.0,150.26,2026-05-15,16,61.6,2026-07-17,79,45.8,0.513,4.23,,,0.341,0.353,4318,587
UHS,16-50,190.0,170.0,179.51,2026-05-15,16,46.6,2026-06-18,50,37.0,0.4835,2.13,,,0.303,0.319,1023,118
CINF,16-50,170.0,160.0,165.64,2026-05-15,16,28.6,2026-06-18,50,23.2,0.4205,1.43,,,0.354,0.304,163,263
PM,50-79,170.0,155.0,160.9,2026-06-18,50,28.9,2026-07-17,79,26.1,0.4059,1.0,1.5,2.5,0.341,0.314,1780,118
ODFL,16-79,230.0,210.0,220.53,2026-05-15,16,48.9,2026-07-17,79,38.1,0.4053,6.2,,,0.366,0.317,132,193
WELL,16-50,220.0,200.0,210.0,2026-05-15,16,32.3,2026-06-18,50,26.6,0.3757,2.47,2.2,4.67,0.265,0.263,408,833
AMT,16-50,180.0,170.0,175.3,2026-05-15,16,37.5,2026-06-18,50,31.1,0.3651,2.5,2.53,5.03,0.392,0.305,319,457
PSX,16-50,170.0,160.0,164.1,2026-05-15,16,39.7,2026-06-18,50,32.9,0.364,2.4,3.15,5.55,0.359,0.377,1156,903
IFF,16-50,75.0,67.5,70.99,2026-05-15,16,44.1,2026-06-18,50,36.6,0.3596,1.08,,,0.298,0.298,415,357
TMUS,16-50,190.0,177.5,182.75,2026-05-15,16,40.5,2026-06-18,50,33.7,0.3496,2.45,,,0.346,0.316,306,718
MO,23-79,68.0,65.0,66.0,2026-05-22,23,29.4,2026-07-17,79,24.4,0.3343,1.01,,,0.37,0.386,171,910
LYB,16-50,75.0,67.5,71.02,2026-05-15,16,60.2,2026-06-18,50,50.7,0.3236,1.25,1.82,3.08,0.361,0.34,2880,1502
AVB,16-50,180.0,170.0,174.28,2026-05-15,16,26.4,2026-06-18,50,22.4,0.3084,1.7,,,0.3,0.338,297,126
FSLR,16-79,210.0,187.5,197.48,2026-05-15,16,65.9,2026-07-17,79,54.1,0.3001,7.8,,,0.358,0.347,382,119
DXCM,16-50,65.0,59.0,61.41,2026-05-15,16,59.8,2026-06-18,50,51.4,0.2746,1.2,,,0.353,0.364,411,692
DAL,16-50,71.0,66.0,68.2,2026-05-15,16,51.0,2026-06-18,50,44.1,0.2587,1.94,,,0.379,0.36,162,5913
AJG,16-79,220.0,210.0,215.06,2026-05-15,16,43.4,2026-07-17,79,36.5,0.2567,6.9,,,0.426,0.379,103,152
COST,50-79,1040.0,975.0,998.01,2026-06-18,50,23.4,2026-07-17,79,21.8,0.2539,7.17,,,0.356,0.351,479,433
UNP,16-50,275.0,265.0,268.91,2026-05-15,16,25.2,2026-06-18,50,21.9,0.2476,2.75,,,0.357,0.378,589,279
OXY,16-79,60.0,55.0,57.27,2026-05-15,16,44.8,2026-07-17,79,38.3,0.2299,1.7,1.56,3.26,0.333,0.328,13119,567
EXPD,16-114,155.0,145.0,148.1,2026-05-15,16,39.2,2026-08-21,114,33.1,0.2244,5.62,,,0.311,0.388,340,162
WMT,50-79,135.0,125.0,127.59,2026-06-18,50,29.1,2026-07-17,79,27.3,0.2231,1.15,0.82,1.98,0.338,0.379,12765,1652
MAS,16-79,75.0,70.0,74.24,2026-05-15,16,36.7,2026-07-17,79,31.9,0.2038,2.02,,,0.472,0.237,182,243
VRTX,50-79,450.0,410.0,426.01,2026-06-18,50,32.9,2026-07-17,79,31.0,0.1909,4.1,,,0.365,0.34,280,172
JNJ,23-50,230.0,220.0,225.34,2026-05-22,23,23.8,2026-06-18,50,21.9,0.1831,1.85,2.14,3.99,0.393,0.315,293,6098
BKNG,16-50,186.0,172.0,177.52,2026-05-15,16,48.0,2026-06-18,50,43.2,0.1807,3.5,3.0,6.5,0.346,0.35,389,141
PAYX,16-50,95.0,85.0,89.93,2026-05-15,16,34.8,2026-06-18,50,31.3,0.1801,1.28,1.5,2.78,0.244,0.266,1317,506
MMM,16-50,150.0,142.0,145.77,2026-05-15,16,29.6,2026-06-18,50,26.7,0.1791,1.94,,,0.344,0.338,510,1467
SYY,16-114,77.5,72.5,75.36,2026-05-15,16,31.0,2026-08-21,114,27.2,0.1673,2.52,2.25,4.77,0.355,0.256,2360,888
NUE,16-79,220.0,210.0,215.0,2026-05-15,16,41.6,2026-07-17,79,37.0,0.1631,7.35,,,0.421,0.381,590,176
