ticker,combo,strike,put_strike,stock_px,front_exp,front_dte,front_iv,back_exp,back_dte,back_iv,ff,call_cost,put_cost,dbl_cost,call_delta,put_delta,front_oi,back_oi,ba_pct
OXY,18-67,55.0,50.0,53.03,2026-05-29,18,59.9,2026-07-17,67,46.5,0.4771,1.56,0.93,2.49,0.423,0.157,235,1140,0.0825
XOM,18-67,150.0,140.0,144.57,2026-05-29,18,43.4,2026-07-17,67,36.1,0.3133,3.68,2.58,6.26,0.377,0.25,1578,4749,0.0607
COIN,18-67,220.0,195.0,201.16,2026-05-29,18,97.0,2026-07-17,67,82.4,0.2693,11.53,9.97,21.5,0.382,0.369,252,1421,0.0628
LLY,18-67,1000.0,930.0,948.45,2026-05-29,18,47.0,2026-07-17,67,41.0,0.2171,28.2,22.2,50.4,0.331,0.344,170,315,0.0972
TXN,18-67,300.0,280.0,287.8,2026-05-29,18,53.7,2026-07-17,67,46.9,0.216,10.05,8.58,18.62,0.393,0.345,157,1136,0.0872
AMD,18-67,500.0,440.0,455.19,2026-05-29,18,83.8,2026-07-17,67,73.7,0.204,24.08,21.35,45.42,0.344,0.374,737,2018,0.0501
ARM,18-67,230.0,200.0,213.27,2026-05-29,18,75.3,2026-07-17,67,66.3,0.2012,10.3,9.68,19.98,0.361,0.321,190,490,0.0663
INTC,18-67,135.0,120.0,124.92,2026-05-29,18,105.3,2026-07-17,67,93.1,0.1943,8.6,7.8,16.4,0.418,0.379,285,1282,0.0427
TSLA,18-67,455.0,415.0,428.35,2026-05-29,18,61.4,2026-07-17,67,54.4,0.1896,17.27,14.35,31.62,0.36,0.331,1450,785,0.015
KO,18-67,80.0,75.0,78.42,2026-05-29,18,17.7,2026-07-17,67,15.7,0.1856,1.02,0.92,1.94,0.33,0.154,808,7630,0.0594
V,18-67,330.0,315.0,318.79,2026-05-29,18,29.1,2026-07-17,67,26.3,0.159,6.5,4.89,11.39,0.319,0.355,337,749,0.0785
CVX,18-67,190.0,180.0,181.62,2026-05-29,18,31.6,2026-07-17,67,28.8,0.1439,3.93,3.32,7.25,0.281,0.411,938,667,0.0627
BA,25-67,250.0,230.0,237.36,2026-06-05,25,38.4,2026-07-17,67,35.4,0.1419,5.08,4.08,9.15,0.33,0.322,340,1867,0.0874
AA,18-67,65.0,60.0,63.18,2026-05-29,18,68.3,2026-07-17,67,62.5,0.1339,3.12,2.45,5.58,0.461,0.277,467,761,0.0816
AFRM,38-102,70.0,60.0,64.01,2026-06-18,38,74.0,2026-08-21,102,69.0,0.1257,3.37,2.7,6.08,0.406,0.326,1529,181,0.0872
UBER,18-67,80.0,75.0,75.45,2026-05-29,18,40.2,2026-07-17,67,37.0,0.1243,2.08,1.9,3.99,0.278,0.442,976,3234,0.0501
ABBV,38-67,210.0,195.0,201.55,2026-06-18,38,29.3,2026-07-17,67,28.1,0.1011,2.27,2.58,4.85,0.366,0.314,2182,760,0.0928
UNH,18-67,390.0,370.0,379.98,2026-05-29,18,28.8,2026-07-17,67,27.0,0.0961,8.58,8.88,17.45,0.365,0.318,593,1890,0.0774
AAPL,32-67,305.0,285.0,293.32,2026-06-12,32,22.7,2026-07-17,67,22.0,0.062,3.35,2.9,6.25,0.31,0.329,4411,16033,0.048
SMCI,18-67,38.0,33.0,35.37,2026-05-29,18,75.5,2026-07-17,67,72.6,0.0566,2.08,1.83,3.92,0.37,0.324,280,753,0.083
AMKR,38-102,80.0,70.0,76.61,2026-06-18,38,92.5,2026-08-21,102,89.7,0.0522,5.6,4.6,10.2,0.507,0.312,656,283,0.049
GE,18-67,310.0,290.0,297.15,2026-05-29,18,43.1,2026-07-17,67,42.4,0.0214,10.68,9.0,19.68,0.354,0.354,195,653,0.047
ANET,38-67,150.0,135.0,141.77,2026-06-18,38,41.5,2026-07-17,67,41.1,0.0212,2.5,2.5,5.0,0.373,0.358,1945,751,0.08
PLTR,38-67,150.0,130.0,137.8,2026-06-18,38,44.7,2026-07-17,67,44.3,0.0202,2.47,2.4,4.88,0.313,0.33,31123,23825,0.0667
