ticker,combo,strike,stock_px,front_exp,front_dte,front_iv,back_exp,back_dte,back_iv,ff,call_cost,call_delta,front_oi,back_oi,ba_pct
QCOM,16-100,230.0,210.31,2026-05-29,16,96.6,2026-08-21,100,70.1,0.515,14.62,0.37,405,1353,0.0769
ARM,16-65,220.0,207.92,2026-05-29,16,102.6,2026-07-17,65,85.1,0.3047,12.73,0.441,492,796,0.0923
FCX,16-65,70.0,66.03,2026-05-29,16,73.3,2026-07-17,65,61.1,0.2941,2.92,0.385,4832,23920,0.0669
BA,16-65,250.0,236.87,2026-05-29,16,46.9,2026-07-17,65,39.4,0.2807,6.67,0.315,1643,2201,0.0787
TSLA,16-44,465.0,433.45,2026-05-29,16,68.7,2026-06-26,44,60.3,0.2505,11.6,0.343,792,340,0.0259
GOOG,16-65,400.0,383.82,2026-05-29,16,46.7,2026-07-17,65,39.9,0.2484,11.55,0.361,1180,4798,0.0433
MCD,16-65,280.0,274.84,2026-05-29,16,22.8,2026-07-17,65,19.5,0.2462,4.39,0.371,125,282,0.0785
ANET,16-65,150.0,142.54,2026-05-29,16,63.4,2026-07-17,65,54.8,0.2263,5.92,0.38,346,953,0.0886
GOOGL,16-65,405.0,387.35,2026-05-29,16,47.4,2026-07-17,65,41.1,0.2243,12.1,0.352,1210,1445,0.0496
AA,16-65,70.0,67.62,2026-05-29,16,71.1,2026-07-17,65,64.0,0.1564,3.48,0.442,168,4370,0.0948
DDOG,16-65,210.0,199.94,2026-05-29,16,65.9,2026-07-17,65,59.5,0.1515,9.5,0.392,100,209,0.1
AAPL,30-65,305.0,294.8,2026-06-12,30,27.9,2026-07-17,65,26.1,0.1392,3.9,0.365,4847,16237,0.0641
UNH,16-65,410.0,396.39,2026-05-29,16,34.2,2026-07-17,65,31.1,0.1379,10.1,0.341,281,1100,0.0644
AMD,16-65,480.0,448.29,2026-05-29,16,72.0,2026-07-17,65,66.5,0.1152,23.95,0.357,553,1175,0.0522
MRK,36-65,120.0,112.37,2026-06-18,36,29.4,2026-07-17,65,28.2,0.1087,1.14,0.267,10363,3338,0.0742
SLB,16-65,60.0,55.64,2026-05-29,16,34.8,2026-07-17,65,32.3,0.1057,1.21,0.165,256,15977,0.0947
INTC,16-65,130.0,120.61,2026-05-29,16,93.1,2026-07-17,65,86.6,0.1045,8.5,0.39,6229,4537,0.0529
AMZN,16-65,275.0,265.82,2026-05-29,16,36.3,2026-07-17,65,33.9,0.098,7.58,0.35,7936,16712,0.0363
OXY,16-65,60.0,56.27,2026-05-29,16,35.5,2026-07-17,65,33.2,0.0978,1.38,0.211,825,1631,0.0545
META,30-65,630.0,603.0,2026-06-12,30,35.1,2026-07-17,65,33.8,0.0757,10.72,0.362,789,4484,0.0769
UAL,16-65,100.0,95.84,2026-05-29,16,54.5,2026-07-17,65,52.5,0.0513,4.32,0.382,117,525,0.088
SMCI,16-65,35.0,32.79,2026-05-29,16,69.1,2026-07-17,65,67.2,0.0377,1.87,0.357,2134,41289,0.0535
NOW,36-65,95.0,89.0,2026-06-18,36,49.7,2026-07-17,65,48.9,0.0376,1.85,0.376,7103,3745,0.0811
COIN,36-65,220.0,207.64,2026-06-18,36,59.5,2026-07-17,65,58.6,0.0344,5.28,0.423,4357,1649,0.09
AFRM,16-65,70.0,65.43,2026-05-29,16,56.5,2026-07-17,65,55.4,0.0271,3.04,0.31,123,511,0.0559
SBUX,16-65,110.0,106.58,2026-05-29,16,27.5,2026-07-17,65,27.0,0.0256,2.52,0.312,197,3320,0.0574
MSFT,36-65,425.0,407.77,2026-06-18,36,26.3,2026-07-17,65,26.2,0.016,4.75,0.34,6170,4166,0.0632
GE,16-65,310.0,297.45,2026-05-29,16,38.6,2026-07-17,65,38.3,0.011,9.95,0.327,200,637,0.0854
XOM,16-65,155.0,150.63,2026-05-29,16,28.0,2026-07-17,65,27.8,0.0078,3.77,0.334,788,4879,0.0557
EOG,16-65,140.0,134.13,2026-05-29,16,29.6,2026-07-17,65,29.5,0.0063,3.35,0.264,271,276,0.0746
AMKR,36-100,80.0,73.45,2026-06-18,36,86.4,2026-08-21,100,86.3,0.0024,5.5,0.435,692,300,0.0545
