ticker,combo,strike,stock_px,front_exp,front_dte,front_iv,back_exp,back_dte,back_iv,ff,call_cost,put_cost,dbl_cost,volume
TMUS,60-90,220.0,221.57,2026-05-15,67,32.7,2026-06-18,101,27.6,157.3,1.45,2.08,3.53,53
PAYX,30-90,100.0,100.85,2026-04-17,39,44.8,2026-06-18,101,33.6,86.1,1.4,2.5,3.9,29
MKC,30-90,65.0,64.85,2026-04-17,39,32.6,2026-06-18,101,25.2,70.8,1.02,0.83,1.85,19
SPGI,60-90,450.0,452.36,2026-05-15,67,33.8,2026-06-18,101,29.9,69.9,3.9,4.5,8.4,0
ABT,60-90,110.0,109.56,2026-05-15,67,29.4,2026-06-18,101,26.1,65.7,1.18,0.38,1.55,93
CTAS,60-90,200.0,203.61,2026-05-15,67,28.6,2026-06-18,101,25.5,61.7,2.1,1.2,3.3,1
JNJ,60-90,240.0,240.4,2026-05-15,67,26.4,2026-06-18,101,23.5,58.5,2.05,2.53,4.58,16
LYV,60-90,155.0,156.13,2026-05-15,67,43.2,2026-06-18,101,38.8,54.0,1.95,1.6,3.55,1
FTNT,60-90,85.0,83.67,2026-05-15,67,48.7,2026-06-18,101,43.8,52.0,1.08,0.75,1.82,1
EBAY,60-90,92.5,92.71,2026-05-15,67,43.4,2026-06-18,101,39.2,48.3,1.07,0.78,1.85,0
SNA,60-90,370.0,372.14,2026-05-15,67,27.5,2026-06-18,101,24.9,47.5,1.95,2.8,4.75,0
JBHT,30-60,210.0,213.39,2026-04-17,39,46.9,2026-05-15,67,41.3,46.7,2.65,2.35,5.0,6
RCL,60-90,280.0,278.08,2026-05-15,67,54.8,2026-06-18,101,49.7,46.3,3.8,4.12,7.92,11
GRMN,60-90,240.0,243.48,2026-05-15,67,38.6,2026-06-18,101,35.1,44.5,1.95,2.15,4.1,0
VLO,60-90,220.0,224.63,2026-05-15,67,48.0,2026-06-18,101,43.6,44.4,2.65,3.28,5.93,26
NOC,60-90,755.0,756.13,2026-05-15,67,38.7,2026-06-18,101,35.3,41.7,6.75,11.1,17.85,1
DLTR,30-60,116.0,115.79,2026-04-10,32,54.2,2026-05-15,67,46.6,41.4,2.38,1.4,3.78,0
AMP,60-90,460.0,464.89,2026-05-15,67,36.3,2026-06-18,101,33.2,40.4,3.75,3.9,7.65,0
VRTX,30-90,455.0,456.69,2026-04-10,32,43.8,2026-06-18,101,35.7,40.1,15.7,8.5,24.2,0
DASH,60-90,180.0,179.17,2026-05-15,67,62.6,2026-06-18,101,57.2,40.1,3.35,2.7,6.05,11
