ticker,combo,strike,stock_px,front_exp,front_dte,front_iv,back_exp,back_dte,back_iv,ff,call_cost,put_cost,dbl_cost,front_oi,back_oi
TMUS,60-90,220.0,221.57,2026-05-15,66,32.7,2026-06-18,100,27.6,150.4,1.45,2.08,3.53,1858,1255
PAYX,30-90,100.0,100.85,2026-04-17,38,44.8,2026-06-18,100,33.6,83.9,1.4,2.5,3.9,999,153
ABT,60-90,110.0,109.56,2026-05-15,66,29.4,2026-06-18,100,26.1,64.3,1.18,0.38,1.55,1329,843
JNJ,60-90,240.0,240.4,2026-05-15,66,26.4,2026-06-18,100,23.5,57.3,2.05,2.53,4.58,373,1564
FTNT,60-90,85.0,83.67,2026-05-15,66,48.7,2026-06-18,100,43.8,51.1,1.08,0.75,1.82,516,1028
VLO,60-90,220.0,224.63,2026-05-15,66,48.0,2026-06-18,100,43.6,43.7,2.65,,,382,654
DASH,60-90,180.0,179.17,2026-05-15,66,62.6,2026-06-18,100,57.2,39.4,3.35,2.7,6.05,187,179
COP,60-90,115.0,117.07,2026-05-15,66,38.1,2026-06-18,100,35.3,31.5,1.0,1.2,2.2,1450,3896
BX,60-90,110.0,110.4,2026-05-15,66,52.5,2026-06-18,100,48.6,30.6,1.4,1.4,2.8,117,688
AKAM,60-90,100.0,99.89,2026-05-15,66,48.1,2026-06-18,100,44.7,29.8,1.0,1.0,2.0,380,2875
WYNN,60-90,100.0,101.61,2026-05-15,66,49.6,2026-06-18,100,46.2,28.9,1.62,1.55,3.18,133,265
APO,60-90,110.0,108.7,2026-05-15,66,51.8,2026-06-18,100,48.2,27.7,1.65,1.8,3.45,205,262
HSY,60-90,220.0,224.99,2026-05-15,66,34.3,2026-06-18,100,32.0,26.3,1.9,,,118,134
QCOM,60-90,135.0,135.69,2026-05-15,66,44.4,2026-06-18,100,41.8,23.6,1.55,1.93,3.48,142,260
SJM,30-90,110.0,111.21,2026-04-17,38,28.7,2026-06-18,100,25.4,23.5,2.2,2.75,4.95,843,252
TER,60-90,270.0,273.05,2026-05-15,66,78.6,2026-06-18,100,73.9,23.3,6.15,,,308,100
CVX,60-90,190.0,189.94,2026-05-15,66,32.8,2026-06-18,100,30.8,22.6,1.53,2.42,3.95,3155,8082
CEG,60-90,320.0,319.06,2026-05-15,66,55.9,2026-06-18,100,52.7,22.4,6.3,4.75,11.05,129,740
XOM,60-90,150.0,151.21,2026-05-15,66,34.6,2026-06-18,100,32.7,21.3,1.25,1.4,2.65,7031,8419
GS,60-90,820.0,821.42,2026-05-15,66,41.8,2026-06-18,100,39.5,21.2,8.88,10.55,19.42,289,274
