ticker,combo,strike,put_strike,stock_px,front_exp,front_dte,front_iv,back_exp,back_dte,back_iv,ff,call_cost,put_cost,dbl_cost,call_delta,put_delta,front_oi,back_oi,ba_pct
ARM,17-66,230.0,200.0,212.65,2026-05-29,17,82.6,2026-07-17,66,71.9,0.2178,11.23,9.75,20.98,0.367,0.324,289,588,0.0799
KO,17-66,80.0,75.0,78.66,2026-05-29,17,19.4,2026-07-17,66,16.9,0.2078,1.12,0.87,2.0,0.367,0.13,819,7657,0.0827
INTC,17-66,140.0,120.0,129.44,2026-05-29,17,105.7,2026-07-17,66,92.8,0.2016,9.0,7.8,16.8,0.412,0.32,1316,2141,0.0476
OXY,17-66,60.0,55.0,55.14,2026-05-29,17,41.2,2026-07-17,66,36.3,0.1952,1.27,1.52,2.8,0.188,0.462,684,1434,0.0929
AMD,17-66,500.0,440.0,458.79,2026-05-29,17,77.5,2026-07-17,66,68.4,0.1932,23.12,21.5,44.62,0.337,0.362,1030,2255,0.0532
DVN,17-66,50.0,45.0,46.73,2026-05-29,17,41.8,2026-07-17,66,36.9,0.1912,1.2,1.31,2.52,0.247,0.309,35165,61112,0.0895
BA,17-66,245.0,230.0,238.21,2026-05-29,17,37.1,2026-07-17,66,33.1,0.1751,6.3,5.18,11.48,0.387,0.303,423,529,0.0632
FCX,17-66,70.0,60.0,64.37,2026-05-29,17,56.5,2026-07-17,66,50.5,0.1722,2.33,2.09,4.42,0.271,0.247,3419,23506,0.0915
PG,17-66,145.0,140.0,143.36,2026-05-29,17,23.8,2026-07-17,66,21.3,0.1699,2.62,2.05,4.68,0.437,0.294,129,2782,0.0973
COIN,17-66,230.0,210.0,216.6,2026-05-29,17,79.8,2026-07-17,66,71.7,0.1625,12.02,11.65,23.68,0.401,0.389,1988,947,0.0876
NOW,24-66,100.0,90.0,91.49,2026-06-05,24,60.6,2026-07-17,66,56.0,0.1389,3.02,2.8,5.82,0.316,0.42,411,7065,0.0987
XOM,17-66,155.0,145.0,149.68,2026-05-29,17,30.6,2026-07-17,66,27.8,0.1382,3.33,2.92,6.25,0.32,0.316,793,4829,0.0568
SMCI,17-66,36.0,32.0,33.52,2026-05-29,17,85.4,2026-07-17,66,78.4,0.1255,2.08,1.84,3.92,0.388,0.361,629,881,0.0918
TSLA,17-66,470.0,430.0,445.0,2026-05-29,17,52.1,2026-07-17,66,48.5,0.1041,17.22,15.63,32.85,0.34,0.345,1207,3842,0.0122
ANET,17-66,145.0,130.0,136.43,2026-05-29,17,55.3,2026-07-17,66,51.5,0.104,5.57,4.82,10.39,0.332,0.313,201,813,0.0712
MRNA,24-66,55.0,50.0,52.88,2026-06-05,24,91.5,2026-07-17,66,86.2,0.1024,2.92,2.6,5.52,0.484,0.353,522,1068,0.095
IBM,17-66,230.0,220.0,223.55,2026-05-29,17,35.5,2026-07-17,66,33.1,0.1017,6.2,5.42,11.62,0.379,0.391,353,352,0.0882
AAPL,31-66,305.0,285.0,292.68,2026-06-12,31,24.7,2026-07-17,66,23.6,0.0963,3.47,2.83,6.3,0.312,0.33,4513,16146,0.0714
UBER,17-66,80.0,75.0,76.15,2026-05-29,17,37.7,2026-07-17,66,35.4,0.0915,2.14,1.87,4.01,0.294,0.401,1063,3292,0.0635
PEP,17-66,155.0,145.0,149.41,2026-05-29,17,23.2,2026-07-17,66,21.9,0.0839,2.6,3.2,5.8,0.251,0.255,109,1417,0.0862
